股票代码,股票名称,今日开盘价,昨日收盘价,今日收盘价,今日最高价,今日最低价,买一报价,卖一报价,成交数量,成交金额,买一数量,买一报价,买二数量,买二报价,买三数量,买三报价,买四数量,买四报价,买五数量,买五报价,卖一数量,卖一报价,卖二数量,卖二报价,卖三数量,卖三报价,卖四数量,卖四报价,卖五数量,卖五报价,日期,时间
000001,平安银行,9.150,9.130,9.150,9.220,9.120,9.140,9.150,68546808,628281688.310,39200,9.140,642556,9.130,682400,9.120,450600,9.110,708100,9.100,146304,9.150,403234,9.160,434578,9.170,766080,9.180,997490,9.190,2017-06-09,15:05:03
000002,万 科Ａ,0.000,20.870,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2017-06-09,15:05:03
000004,国农科技,0.000,36.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2017-06-09,15:05:03
000005,世纪星源,5.300,5.280,5.300,5.340,5.230,5.290,5.300,6848352,36194750.350,111669,5.290,38186,5.280,59093,5.270,62500,5.260,62900,5.250,48000,5.300,87100,5.310,139200,5.320,265300,5.330,169700,5.340,2017-06-09,15:05:03
000006,深振业Ａ,8.910,8.850,9.120,9.160,8.830,9.120,9.130,53526865,482242701.870,96049,9.120,74382,9.110,129900,9.100,45900,9.090,209692,9.080,468850,9.130,203800,9.140,460200,9.150,248700,9.160,234200,9.170,2017-06-09,15:05:03
000007,全新好,0.000,15.870,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2017-06-09,15:05:03
000008,神州高铁,7.270,7.250,7.300,7.310,7.220,7.290,7.300,8405393,61142968.160,34700,7.290,14100,7.280,25600,7.270,59840,7.260,255800,7.250,184919,7.300,200681,7.310,199800,7.320,67000,7.330,19000,7.340,2017-06-09,15:05:03
000009,中国宝安,7.570,7.570,7.590,7.620,7.530,7.590,7.600,12510295,94716528.100,29270,7.590,179506,7.580,78300,7.570,49437,7.560,44006,7.550,474201,7.600,208050,7.610,284650,7.620,156138,7.630,34100,7.640,2017-06-09,15:05:03
000010,美丽生态,5.200,5.290,5.330,5.440,5.200,5.330,5.340,23994154,128267489.860,206900,5.330,102900,5.320,68600,5.310,189700,5.300,49300,5.290,100100,5.340,90400,5.350,97200,5.360,66800,5.370,57700,5.380,2017-06-09,15:05:03
000011,深物业A,20.230,20.200,21.410,21.890,19.960,21.410,21.420,43489489,906956403.210,246900,21.410,187600,21.400,49300,21.390,2100,21.380,4600,21.370,33600,21.420,25700,21.430,4200,21.440,38300,21.450,1000,21.460,2017-06-09,15:05:03
000012,南 玻Ａ,9.230,9.220,9.230,9.310,9.140,9.230,9.240,10053965,92739580.920,158700,9.230,65084,9.220,24200,9.210,149041,9.200,43500,9.190,63400,9.240,93695,9.250,54600,9.260,57100,9.270,132100,9.280,2017-06-09,15:05:03
000014,沙河股份,18.030,18.180,18.220,18.460,17.910,18.210,18.220,6756740,122855374.140,6300,18.210,12200,18.200,3500,18.190,6700,18.180,9100,18.170,9300,18.220,22200,18.230,17000,18.240,28301,18.250,13900,18.260,2017-06-09,15:05:03
