今日开盘价,今日收盘价,今日最低价,今日最高价,日期,昨日收盘价,股票代码,股票名称
13.280,13.210,13.020,13.460,2017-12-28,13.290,000001,平安银行
30.400,30.700,29.870,30.840,2017-12-28,30.790,000002,万 科Ａ
0.000,0.000,0.000,0.000,2017-12-26,0.000,000003,PT金田A
22.100,22.210,21.630,22.320,2017-12-28,22.170,000004,国农科技
4.070,4.120,4.070,4.140,2017-12-28,4.060,000005,世纪星源
0.000,0.000,0.000,0.000,2017-12-28,9.850,000006,深振业Ａ
0.000,0.000,0.000,0.000,2017-12-28,16.660,000007,全新好
8.540,8.660,8.500,8.750,2017-12-28,8.720,000008,神州高铁
7.210,7.180,7.140,7.260,2017-12-28,7.200,000009,中国宝安
5.400,5.380,5.360,5.480,2017-12-28,5.410,000010,美丽生态
16.480,16.520,16.480,16.640,2017-12-28,16.490,000011,深物业A
8.170,8.190,8.090,8.220,2017-12-28,8.150,000012,南 玻Ａ
0.000,0.000,0.000,0.000,2017-12-26,0.000,000013,*ST石化A
10.780,10.700,10.650,10.860,2017-12-28,10.770,000014,沙河股份
0.000,0.000,0.000,0.000,2017-12-26,0.000,000015,PT中浩A
5.950,5.710,5.700,5.970,2017-12-28,5.920,000016,深康佳Ａ
6.280,6.210,6.150,6.290,2017-12-28,6.280,000017,深中华A
5.980,6.030,5.980,6.040,2017-12-28,6.000,000018,神州长城
0.000,0.000,0.000,0.000,2017-12-28,12.150,000019,深深宝Ａ
13.600,13.990,13.580,14.150,2017-12-28,13.880,000020,深华发Ａ
9.220,9.510,9.220,9.540,2017-12-28,9.260,000021,深科技
0.000,0.000,0.000,0.000,2017-12-28,24.140,000022,深赤湾Ａ
20.410,20.460,20.130,20.680,2017-12-28,20.450,000023,深天地Ａ
0.000,0.000,0.000,0.000,2015-12-29,36.800,000024,招商地产
38.490,38.450,38.400,38.880,2017-12-28,38.420,000025,特 力Ａ
10.730,10.990,10.630,11.000,2017-12-28,10.730,000026,飞亚达Ａ
6.060,6.030,6.020,6.060,2017-12-28,6.040,000027,深圳能源
60.100,59.990,59.430,60.650,2017-12-28,60.030,000028,国药一致
0.000,0.000,0.000,0.000,2017-12-28,11.170,000029,深深房Ａ
7.950,8.070,7.950,8.080,2017-12-28,7.980,000030,富奥股份
0.000,0.000,0.000,0.000,2017-12-28,8.000,000031,中粮地产
10.080,10.060,10.000,10.160,2017-12-28,10.100,000032,深桑达Ａ
1.670,1.700,1.590,1.770,2017-07-06,1.630,000033,新都退
0.000,0.000,0.000,0.000,2017-12-28,21.600,000034,神州数码
0.000,0.000,0.000,0.000,2017-12-28,6.720,000035,中国天楹
8.740,9.030,8.730,9.150,2017-12-28,8.760,000036,华联控股
6.860,6.670,6.660,6.860,2017-12-28,6.860,000037,深南电A
20.760,20.870,20.530,21.350,2017-12-28,21.010,000038,深大通
21.380,21.910,21.080,22.350,2017-12-28,21.570,000039,中集集团
13.730,14.170,13.650,14.180,2017-12-28,13.780,000040,东旭蓝天
16.130,16.230,16.040,16.300,2017-12-28,16.150,000042,中洲控股
9.710,9.660,9.660,9.800,2017-12-28,9.770,000043,中航地产
9.650,9.660,9.620,9.800,2017-12-28,9.650,000045,深纺织Ａ
7.460,7.450,7.380,7.460,2017-12-28,7.460,000046,泛海控股
0.000,0.000,0.000,0.000,2017-12-26,0.000,000047,ST中侨
20.080,19.980,19.400,20.220,2017-12-28,20.110,000048,康达尔
38.930,38.270,38.010,38.930,2017-12-28,38.790,000049,德赛电池
19.120,19.240,19.050,19.430,2017-12-28,19.120,000050,深天马Ａ
5.930,6.000,5.920,6.030,2017-12-28,5.940,000055,方大集团
0.000,0.000,0.000,0.000,2017-12-28,13.270,000056,皇庭国际
7.300,7.270,7.260,7.390,2017-12-28,7.330,000058,深 赛 格
9.330,9.380,9.260,9.480,2017-12-28,9.350,000059,华锦股份
10.660,11.080,10.620,11.170,2017-12-28,10.590,000060,中金岭南
7.570,7.580,7.480,7.610,2017-12-28,7.550,000061,农 产 品
23.400,23.320,23.220,23.550,2017-12-28,23.320,000062,深圳华强
36.250,36.220,35.600,36.810,2017-12-28,36.180,000063,中兴通讯
17.690,18.390,17.690,18.420,2017-12-28,17.680,000065,北方国际
6.600,6.630,6.460,6.660,2017-12-28,6.420,000066,中国长城
5.010,5.000,4.980,5.030,2017-12-28,5.020,000068,华控赛格
8.160,8.390,8.150,8.440,2017-12-28,8.170,000069,华侨城Ａ
9.280,9.180,9.140,9.310,2017-12-28,9.280,000070,特发信息
5.800,5.830,5.800,5.880,2017-12-28,5.810,000078,海王生物
7.660,7.600,7.550,7.710,2017-12-28,7.570,000088,盐 田 港
8.650,8.720,8.640,8.720,2017-12-28,8.670,000089,深圳机场
9.950,9.970,9.900,10.020,2017-12-28,9.940,000090,天健集团
13.240,13.300,13.240,13.470,2017-12-28,13.410,000096,广聚能源
9.000,8.970,8.920,9.090,2017-12-28,9.100,000099,中信海直
3.830,3.830,3.810,3.880,2017-12-28,3.840,000100,TCL 集团
30.070,30.280,29.600,30.310,2017-12-28,30.070,000150,宜华健康
12.060,12.200,12.060,12.330,2017-12-28,12.140,000151,中成股份
7.760,7.790,7.740,7.850,2017-12-28,7.790,000153,丰原药业
6.120,6.010,5.980,6.150,2017-12-28,6.200,000155,川化股份
0.000,0.000,0.000,0.000,2017-12-28,11.400,000156,华数传媒
4.420,4.460,4.380,4.530,2017-12-28,4.410,000157,中联重科
7.830,7.820,7.800,7.910,2017-12-28,7.880,000158,常山北明
5.250,5.240,5.220,5.290,2017-12-28,5.260,000159,国际实业
5.220,5.300,5.200,5.340,2017-12-28,5.220,000166,申万宏源
5.200,5.250,5.170,5.270,2017-12-28,5.200,000301,东方市场
54.510,55.550,53.950,56.220,2017-12-28,54.390,000333,美的集团
8.300,8.340,8.160,8.440,2017-12-28,8.260,000338,潍柴动力
13.090,13.280,13.090,13.340,2017-12-28,13.080,000400,许继电气
0.000,0.000,0.000,0.000,2017-12-28,13.790,000401,冀东水泥
10.930,10.980,10.910,11.040,2017-12-28,10.970,000402,金 融 街
29.650,29.880,29.200,30.130,2017-12-28,29.800,000403,ST生化
6.230,6.280,6.190,6.300,2017-12-28,6.220,000404,华意压缩
0.000,0.000,0.000,0.000,2017-12-26,0.000,000405,ST鑫光
0.000,0.000,0.000,0.000,2017-12-26,0.000,000406,石油大明
7.790,7.630,7.610,7.800,2017-12-28,7.810,000407,胜利股份
17.870,17.760,17.510,17.980,2017-12-28,18.000,000408,藏格控股
5.160,5.220,5.120,5.260,2017-12-28,5.120,000409,山东地矿
9.440,9.390,9.350,9.610,2017-12-28,9.500,000410,*ST沈机
20.200,20.070,20.020,20.670,2017-12-28,20.230,000411,英特集团
0.000,0.000,0.000,0.000,2017-12-26,0.000,000412,ST五环
9.370,9.310,9.300,9.450,2017-12-28,9.400,000413,东旭光电
5.730,5.750,5.720,5.800,2017-12-28,5.750,000415,渤海金控
7.020,7.040,7.020,7.100,2017-12-28,7.050,000416,民生控股
8.040,8.080,8.040,8.110,2017-12-28,8.040,000417,合肥百货
65.180,67.480,64.530,67.500,2017-12-28,65.180,000418,小天鹅Ａ
6.010,6.040,6.000,6.110,2017-12-28,6.030,000419,通程控股
3.120,3.130,3.100,3.150,2017-12-28,3.130,000420,吉林化纤
6.310,6.220,6.200,6.370,2017-12-28,6.350,000421,南京公用
4.070,4.100,4.060,4.130,2017-12-28,4.090,000422,湖北宜化
59.750,60.010,59.510,60.390,2017-12-28,59.770,000423,东阿阿胶
4.550,4.610,4.410,4.780,2017-12-28,4.540,000425,徐工机械
9.500,10.050,9.450,10.140,2017-12-28,9.490,000426,兴业矿业
4.020,4.040,4.020,4.070,2017-12-28,4.030,000428,华天酒店
8.050,8.100,8.020,8.110,2017-12-28,8.030,000429,粤高速Ａ
8.500,8.500,8.410,8.570,2017-12-28,8.500,000430,张家界
16.170,16.290,16.050,16.420,2017-12-28,16.080,000488,晨鸣纸业
6.660,6.670,6.640,6.760,2017-12-28,6.640,000498,山东路桥
15.960,15.990,15.880,16.060,2017-12-28,15.990,000501,鄂武商Ａ
10.630,10.960,10.630,10.990,2017-12-28,10.780,000502,绿景控股
45.060,41.400,40.710,45.490,2017-12-28,45.230,000503,海虹控股
24.800,23.810,23.500,24.800,2017-12-28,23.800,000504,南华生物
8.350,8.330,8.300,8.420,2017-12-28,8.390,000505,珠江控股
7.300,7.340,7.250,7.380,2017-12-28,7.310,000506,中润资源
10.250,10.120,10.060,10.400,2017-12-28,10.040,000507,珠海港
0.000,0.000,0.000,0.000,2017-12-26,0.000,000508,琼民源A
0.000,0.000,0.000,0.000,2017-12-28,6.120,000509,华塑控股
8.350,8.580,8.260,8.620,2017-12-28,8.400,000510,金路集团
0.000,0.000,0.000,0.000,2017-07-05,5.270,000511,*ST烯碳
67.270,67.400,65.940,68.110,2017-12-28,67.250,000513,丽珠集团
6.040,6.060,6.040,6.120,2017-12-28,6.040,000514,渝 开 发
0.000,0.000,0.000,0.000,2017-12-26,0.000,000515,攀渝钛业
4.590,4.710,4.570,4.730,2017-12-28,4.640,000516,国际医学
3.350,3.350,3.310,3.370,2017-12-28,3.360,000517,荣安地产
6.950,6.820,6.740,6.950,2017-12-28,6.980,000518,四环生物
9.960,9.820,9.760,10.140,2017-12-28,9.980,000519,中兵红箭
4.010,3.990,3.980,4.040,2017-12-28,4.010,000520,长航凤凰
5.020,5.050,5.020,5.100,2017-12-28,5.040,000521,美菱电器
0.000,0.000,0.000,0.000,2017-12-26,0.000,000522,白云山A
7.880,7.880,7.820,7.970,2017-12-28,7.880,000523,广州浪奇
11.260,11.210,11.210,11.300,2017-12-28,11.320,000524,岭南控股
20.210,19.940,19.580,20.350,2017-12-28,20.360,000525,红 太 阳
0.000,0.000,0.000,0.000,2017-12-28,36.680,000526,*ST紫学
0.000,0.000,0.000,0.000,2017-12-26,0.000,000527,美的电器
8.290,8.500,8.220,8.630,2017-12-28,8.310,000528,柳 工
6.700,6.750,6.700,6.780,2017-12-28,6.730,000529,广弘控股
5.330,5.350,5.310,5.380,2017-12-28,5.340,000530,大冷股份
7.980,7.930,7.890,8.000,2017-12-28,8.000,000531,穗恒运Ａ
10.350,10.400,10.300,10.480,2017-12-28,10.310,000532,华金资本
10.690,10.660,10.570,10.690,2017-12-28,10.700,000533,万 家 乐
13.800,13.720,13.700,13.990,2017-12-28,13.790,000534,万泽股份
0.000,0.000,0.000,0.000,2017-12-26,0.000,000535,*ST猴王
4.610,4.660,4.610,4.660,2017-12-28,4.620,000536,华映科技
12.250,12.060,11.900,12.530,2017-12-28,12.400,000537,广宇发展
